epoch,train_loss,val_loss,cer
1,2.234183567387679,2.4186955644231265,0.7848035249182544
2,1.9807548637438221,2.1569940923238327,0.7237452825450486
3,1.7357853949555473,1.9157449849842516,0.6633557626294104
4,1.5268887155594828,1.7654062850411658,0.6145027744910322
5,1.3273984025856835,1.5872851727008654,0.5612532736946494
6,1.2064194369691528,1.4049188892571323,0.5170847204844521
7,1.0704052900645238,1.224387435327202,0.48351270842037625
8,0.9170252609434562,1.1004120867973544,0.43748585865045303
9,0.7950325560887419,0.9605623907667068,0.4076676927344346
10,0.7451063830501828,0.8536349571831848,0.37296773455783944
11,0.6142495787237564,0.7844862861107949,0.3456143840050663
12,0.5653182928407178,0.6988423538546713,0.31641123835189366
13,0.5012646952351467,0.6324786728249039,0.2953790515458433
14,0.4236174784820349,0.544160680451367,0.26930862568596725
15,0.39564666229255513,0.4770159739265669,0.2445927760653964
16,0.3419125184234415,0.4467486084889002,0.23233916230033294
17,0.29321296455709206,0.4156987965616625,0.20779593039617858
18,0.2891528197316134,0.3399328394590454,0.19869136102615373
19,0.24519573182849472,0.303259346497012,0.17501627076030857
20,0.20042526873384012,0.31361449870013,0.16165966394751802
